,Location,year,Lat,Long,Adult,Child/Youth,Concession,CTP,School Student,Senior/Pensioner,Others,Total
266,Town Hall Light Rail,2020,-33.8727561,151.2066608,459870,38232,37654,166605,9117,122068,136800,839161
267,Town Hall Light Rail,2021,-33.8727561,151.2066608,456071,41430,63330,285366,11809,146491,164477,1010674
268,Town Hall Light Rail,2022,-33.8727561,151.2066608,831047,79524,107661,677276,20815,235072,268316,1963824
269,Town Hall Light Rail,2023,-33.8727561,151.2066608,82973,13487,6061,77131,218,22465,23915,203567
270,UNKNOWN,2016,0,0,NA,NA,NA,NA,NA,NA,24913,24913
271,UNKNOWN,2020,0,0,NA,NA,NA,NA,6,NA,6,6
272,UNKNOWN,2021,0,0,NA,NA,NA,36,5,NA,5,41
273,UNKNOWN,2022,0,0,NA,NA,NA,41,5,NA,9,50
274,UNSW Anzac Parade Light Rail,2020,-33.91511602,151.235409,56608,2284,35254,28232,667,7772,8642,131020
275,UNSW Anzac Parade Light Rail,2021,-33.91511602,151.235409,117448,13242,164114,74030,2089,14475,17152,385986
276,UNSW Anzac Parade Light Rail,2022,-33.91511602,151.235409,292160,22285,331642,222510,5823,27480,35074,903671
277,UNSW Anzac Parade Light Rail,2023,-33.91511602,151.235409,23544,2511,7630,18576,51,2423,2619,54880
278,UNSW High Street Light Rail,2019,-33.91624829,151.2355648,6868,645,1182,1130,57,693,795,10620
279,UNSW High Street Light Rail,2020,-33.91624829,151.2355648,111474,7804,54799,32582,1345,8912,10584,217243
280,UNSW High Street Light Rail,2021,-33.91624829,151.2355648,130858,6243,98874,59124,1277,10385,11968,307067
281,UNSW High Street Light Rail,2022,-33.91624829,151.2355648,189390,12193,183269,138551,2527,14750,18049,541452
282,UNSW High Street Light Rail,2023,-33.91624829,151.2355648,13480,1198,4165,11018,13,1117,1200,31061
283,Wansey Road Light Rail,2019,-33.90970253,151.2357523,2619,361,160,860,3,377,435,4435
284,Wansey Road Light Rail,2020,-33.90970253,151.2357523,38692,2280,3073,18225,1077,5553,7347,69617
285,Wansey Road Light Rail,2021,-33.90970253,151.2357523,36464,1947,4065,32500,1286,6507,8602,83578
286,Wansey Road Light Rail,2022,-33.90970253,151.2357523,65202,4180,9265,84860,2524,11858,15832,179339
287,Wansey Road Light Rail,2023,-33.90970253,151.2357523,5819,624,618,10246,16,1199,1373,18680
288,Waratah Mills Light Rail,2016,-33.89873105,151.1400787,31723,5398,2631,NA,2176,5787,7989,47741
289,Waratah Mills Light Rail,2017,-33.89873105,151.1400787,66093,8689,5756,NA,4026,11880,15972,96510
290,Waratah Mills Light Rail,2018,-33.89873105,151.1400787,59984,7450,4465,1756,3456,11705,15231,88886
291,Waratah Mills Light Rail,2019,-33.89873105,151.1400787,54075,7813,4165,5610,3896,12716,16737,88400
292,Waratah Mills Light Rail,2020,-33.89873105,151.1400787,22980,4037,2512,7819,2911,8925,11937,49285
293,Waratah Mills Light Rail,2021,-33.89873105,151.1400787,15684,2475,2081,7215,1755,6912,8821,36276
294,Waratah Mills Light Rail,2022,-33.89873105,151.1400787,15423,2559,1334,10840,2557,7470,10285,40441
295,Waratah Mills Light Rail,2023,-33.89873105,151.1400787,1386,427,103,1315,18,837,898,4129
296,Wentworth Park Light Rail,2016,-33.87277053,151.1936567,67559,4195,4897,NA,857,6447,7350,84001
297,Wentworth Park Light Rail,2017,-33.87277053,151.1936567,166386,9238,11381,NA,1902,14017,16058,203063
298,Wentworth Park Light Rail,2018,-33.87277053,151.1936567,168212,10551,11937,4712,3718,14319,18268,213680
299,Wentworth Park Light Rail,2019,-33.87277053,151.1936567,157916,11259,12385,15812,3957,15976,20302,217674
300,Wentworth Park Light Rail,2020,-33.87277053,151.1936567,61475,5220,4810,22480,3340,9417,13009,106994
301,Wentworth Park Light Rail,2021,-33.87277053,151.1936567,31187,2730,3658,19074,2385,7766,10383,67032
302,Wentworth Park Light Rail,2022,-33.87277053,151.1936567,34965,3693,2246,27035,2726,9489,12613,80552
303,Wentworth Park Light Rail,2023,-33.87277053,151.1936567,3880,446,224,3851,12,1007,1058,9459
304,Wynyard Light Rail,2019,-33.86641856,151.2070802,36910,5155,1484,8233,95,8001,8595,60377
305,Wynyard Light Rail,2020,-33.86641856,151.2070802,391861,24038,27395,143207,2721,89348,95918,682419
306,Wynyard Light Rail,2021,-33.86641856,151.2070802,422171,25526,49829,265821,3196,108106,116289,879636
307,Wynyard Light Rail,2022,-33.86641856,151.2070802,684817,45460,93107,624596,5496,176212,189918,1637898
308,Wynyard Light Rail,2023,-33.86641856,151.2070802,63773,7607,5302,67294,50,17257,18142,162118
